"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","员工借款单流程","员工借款单费用报销界面单据提交","0","0","1","0","0"
"","差旅申请单流程","差旅申请单费用报销界面单据提交","0","0","1","0","0"
"","预提申请单（新）流程","预提申请单（新）共享中心界面财务审批","0","0","1","0","0"
"","作废/红字发票申请单（新）","作废/红字发票申请单（新）共享中心界面财务审批","0","0","1","0","0"
"","差旅申请单（国际）流程","差旅申请单（国际）费用报销界面业务审批","0","0","1","0","0"
"","收入报账单流程","收入报账单共享中心界面财务审批","0","0","1","0","0"
"","","","0","0","3","0","0"
"","成本暂估单（旧）流程","成本暂估单（旧）共享中心界面财务审批","0","0","1","0","0"
"","成本暂估单（新）流程","成本暂估单（新）共享中心界面财务审批","0","0","1","0","0"
"","新建合同流程","合同复核流程","0","0","2","0","0"
"","差旅报账单流程","差旅报账单费用报销界面单据提交","1","0","0","0","0"
"","作废/红字发票申请单（新）","作废/红字发票申请单（新）费用报销界面业务审批","0","0","1","0","0"
"","采购付款单流程","采购付款单费用报销界面业务审批","0","0","1","0","0"
"","业务记账单（新）流程","业务记账单（新）费用报销界面业务审批","0","0","1","0","0"
"","成本暂估单（旧）流程","成本暂估单（旧）费用报销界面业务审批","0","0","1","0","0"
"","贴现托收申请单（新）流程","贴现托收申请单（新）费用报销界面业务审批","0","0","1","0","0"
"","差旅报账单流程","差旅报账单共享中心界面财务审批","0","0","0","1","0"
"","新增薪酬流程","新增薪酬业务报账界面流程","0","1","0","0","0"
"","新建合同流程","新建合同流程","0","0","2","0","0"
"","开票申请单流程","收入报账单共享中心界面财务审批","0","0","1","0","0"
"","五险一金报账单（新）流程","五险一金报账单（新）费用报销界面业务审批","0","0","1","0","0"
"","差旅申请单流程","差旅申请单共享中心界面财务审批","0","0","1","0","0"
"","通用费用申请单流程","通用费用申请费用报销界面业务审批","0","0","1","0","0"
"","总账单流程","总账单费用报销界面业务审批","0","0","1","0","0"
"","员工借款单流程","员工借款单共享中心界面财务审批","0","0","1","0","0"
"","工资报账单（新）流程","工资报账单（新）费用报销界面业务审批","0","0","1","0","0"
"","日常费用报账单流程","日常费用报账单共享中心界面财务审批","0","0","1","0","0"
"","五险一金报账单（新）流程","五险一金报账单（新）业务报账界面单据提交","0","0","1","0","0"
"","差旅申请单（国际）流程","差旅申请单（国际）费用报销界面单据提交","0","0","1","0","0"
"","业务记账单（新）流程","业务记账单（新）业务报账界面单据提交","0","0","1","0","0"
"","开票申请单流程","开票申请单业务报账界面单据提交","0","0","1","0","0"
"","工资报账单（新）流程","工资报账单（新）业务报账界面单据提交","0","0","1","0","0"
"","差旅申请单（国际）流程","差旅申请单（国际）共享中心界面财务审批","0","0","1","0","0"
"","资金调拨报账单(新)流程","资金调拨报账单（新）业务报账界面单据提交","0","0","1","0","0"
"","差旅报账单流程","差旅报账单费用报销界面业务审批","0","0","0","1","0"
"","成本暂估单（新）流程","成本暂估单（新）费用报销界面业务审批","0","0","1","0","0"
"","预提申请单（新）流程","预提申请单（新）业务报账界面单据提交","0","0","1","0","0"
"","采购预付单流程","采购预付单业务报账界面单据提交","0","0","1","0","0"
"","收入报账单流程","收入报账单费用报销界面业务审批","0","0","1","0","0"
"","多人差旅报账单流程","多人差旅报账单共享中心界面财务审批","0","0","1","0","0"
"","五险一金报账单（新）流程","五险一金报账单（新）共享中心界面财务审批","0","0","1","0","0"
"","票据调拨单（新）流程","票据调拨单（新）业务报账界面单据提交","0","0","1","0","0"
"","多人差旅报账单流程","多人差旅报账单费用报销界面业务审批","0","0","1","0","0"
"","员工还款单流程","员工还款单费用报销界面单据提交","0","0","1","0","0"
"","收入报账单流程","收入报账单业务报账界面单据提交","0","0","1","0","0"
"","通用费用申请单流程","通用费用申请单费用报销界面单据提交","0","0","1","0","0"
"","差旅申请单流程","差旅申请单费用报销界面业务审批","0","0","1","0","0"
"","总账单流程","总账单共享中心界面财务审批","0","0","1","0","0"
"","作废/红字发票申请单（新）","作废/红字发票申请单（新）业务报账界面单据提交","0","0","1","0","0"
"","采购付款单流程","采购付款单共享中心界面财务审批","0","0","1","0","0"
"","资金调拨报账单(新)流程","资金调拨报账单（新）费用报销界面业务审批","0","0","1","0","0"
"","采购预付单流程","采购预付单共享中心界面财务审批","0","0","1","0","0"
"","业务记账单（新）流程","业务记账单（新）共享中心界面财务审批","0","0","1","0","0"
"","通用费用申请单流程","通用费用申请共享中心界面财务审批","0","0","1","0","0"
"","采购付款单流程","采购付款单业务报账界面单据提交","0","0","1","0","0"
"","资金调拨报账单(新)流程","资金调拨报账单（新）共享中心界面财务审批","0","0","1","0","0"
"","日常费用报账单流程","日常费用报账单费用报销界面业务审批","0","0","1","0","0"
"","员工还款单流程","员工还款单费用报销界面业务审批","0","0","1","0","0"
"","票据调拨单（新）流程","票据调拨单（新）共享中心界面财务审批","0","0","1","0","0"
"","开票申请单流程","开票申请单费用报销界面业务审批","0","0","1","0","0"
"","多人差旅报账单流程","多人差旅报账单费用报销界面单据提交","0","0","1","0","0"
"","贴现托收申请单（新）流程","贴现托收申请单（新）业务报账界面单据提交","0","0","1","0","0"
"","贴现托收申请单（新）流程","贴现托收申请单（新）共享中心界面财务审批","0","0","1","0","0"
"","员工还款单流程","员工还款单共享中心界面财务审批","0","0","1","0","0"
"","日常费用报账单流程","日常费用报账单费用报销界面单据提交","0","0","1","0","0"
"","工资报账单（新）流程","工资报账单（新）共享中心界面财务审批","0","0","1","0","0"
"","成本暂估单（新）流程","成本暂估单（新）业务报账界面单据提交","0","0","1","0","0"
"","成本暂估单（旧）流程","成本暂估单（旧）业务报账界面单据提交","0","0","1","0","0"
"","采购预付单流程","采购预付单费用报销界面业务审批","0","0","1","0","0"
"","员工借款单流程","员工借款单费用报销界面业务审批","0","0","1","0","0"
"","预提申请单（新）流程","预提申请单（新）费用报销界面业务审批","0","0","1","0","0"
"","总账单流程","总账单业务报账界面单据提交","0","0","1","0","0"
"","票据调拨单（新）流程","票据调拨单（新）费用报销界面业务审批","0","0","1","0","0"
